Time,Duration (min),Design Stress (%),Bearing Pressure (kN/m2),Average Settlement (mm)
10.00am,15,12.5,25,0.81
10.15am,15,25,50,3.00
10.30am,15,37.5,75,4.75
10.45am,15,50,100,6.40
11.00am,15,62.5,125,8.10
11.15am,15,75,150,9.12
11.30am,15,87.5,175,9.96
11.45am,60,100,200,10.97
12.00am,15,75,150,10.92
12.15pm,15,50,100,10.67
1.15pm,15,25,50,10.00
1.30pm,15,0,0,7.25
1.45pm,15,50,100,9.52
2.00pm,15,100,200,11.78
2.15pm,15,125,250,13.80
2.30pm,60,150,300,16.08
2.45pm,15,100,200,15.48
3.00pm,15,50,100,15.11
4.00pm,15,0,0,11.06
,,,,
,,,,
,,,,
,,,,
,,,,
